OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90
1,0,2916,1005664.06,1037,1044,7,1040.521948,1.717695698,3034162,8,1039,1037,1040,1043
2,1,2916,1005664.06,1153,1229,76,1179.684842,17.11571377,3439961,77,1173,1229,1176,1208
3,2,2916,1005664.06,1046,1080,34,1061.093964,10.47621668,3094150,35,1050,1080,1060,1076
4,3,2916,1005664.06,1056,1104,48,1086.673868,14.32726507,3168741,49,1094,1056,1093,1101
5,4,2862,987040.6515,1121,1158,37,1138.621593,11.33612596,3258735,38,1153,1158,1139,1153
6,5,2916,1005664.06,1092,1110,18,1101.392318,4.341049948,3211660,19,1105,1092,1102,1107
7,6,2862,987040.6515,1090,1165,75,1135.27044,17.70344141,3249144,76,1162,1092,1136,1160
8,7,2862,987040.6515,994,1040,46,1003.389238,10.6324528,2871700,47,996,1029,997,1018
9,8,2916,1005664.06,1263,1276,13,1269.294925,2.840064921,3701264,14,1269,1263,1269,1273
10,9,2916,1005664.06,1037,1046,9,1041.068587,2.103648488,3035756,10,1043,1046,1041,1044
11,10,2862,987040.6515,1017,1026,9,1018.586303,2.318173506,2915194,10,1017,1026,1017,1022
12,11,2916,1005664.06,1214,1247,33,1236.732167,6.32075377,3606311,34,1240,1214,1237,1245
13,12,2916,1005664.06,1044,1088,44,1060.412894,13.19798686,3092164,45,1046,1088,1056,1079
14,13,2862,987040.6515,1064,1086,22,1071.827743,5.174592461,3067571,23,1068,1064,1071,1080
15,14,2916,1005664.06,1091,1102,11,1098.990055,2.355473414,3204655,12,1100,1091,1100,1101
16,15,2916,1005664.06,1089,1114,25,1102.67524,6.032759571,3215401,26,1106,1114,1104,1110
17,16,2916,1005664.06,1120,1140,20,1129.690329,6.094009947,3294177,21,1123,1140,1130,1138
18,17,2916,1005664.06,1026,1033,7,1028.994856,1.720421484,3000549,8,1029,1033,1029,1031
19,18,2916,1005664.06,1033,1039,6,1037.206104,1.304883113,3024493,7,1038,1033,1038,1038
20,19,2916,1005664.06,1055,1071,16,1062.252743,3.769995982,3097529,17,1064,1071,1063,1067
21,20,2862,987040.6515,992,1052,60,1029.942348,22.64581208,2947695,61,1049,1031,1044,1050
22,21,2916,1005664.06,1074,1084,10,1082.159122,0.803406532,3155576,11,1082,1074,1082,1083
23,22,2862,987040.6515,1051,1077,26,1056.744235,6.103829659,3024402,27,1052,1077,1055,1067
24,23,2916,1005664.06,1095,1106,11,1101.3738,2.828824681,3211606,12,1104,1106,1102,1104
25,24,2862,987040.6515,1054,1123,69,1098.638365,21.13345425,3144303,70,1114,1123,1107,1118
26,25,2809,968762.121,1004,1037,33,1008.889284,5.532600797,2833970,34,1007,1028,1007,1013
27,26,2916,1005664.06,1116,1137,21,1121.282922,3.348811262,3269661,22,1119,1116,1120,1126
28,27,2916,1005664.06,1151,1234,83,1196.974623,23.08300554,3490378,84,1233,1151,1196,1230
29,28,2862,987040.6515,1024,1047,23,1027.472048,2.838862763,2940625,24,1025,1047,1027,1031
30,29,2916,1005664.06,1019,1048,29,1037.532236,10.77303526,3025444,30,1047,1033,1045,1047
31,30,2916,1005664.06,1045,1052,7,1049.187586,1.743141627,3059431,8,1050,1045,1049,1051
32,31,2862,987040.6515,1050,1080,30,1059.666667,8.498201396,3032766,31,1054,1080,1056,1075
33,32,2916,1005664.06,1061,1100,39,1078.000686,14.52220284,3143450,40,1063,1061,1072,1099
34,33,2916,1005664.06,1235,1272,37,1255.932442,8.692539945,3662299,38,1264,1272,1257,1266
35,34,2916,1005664.06,1027,1037,10,1031.12037,2.263562235,3006747,11,1033,1037,1031,1034
36,35,2916,1005664.06,1081,1087,6,1083.165638,1.701387003,3158511,7,1082,1087,1083,1086
37,36,2916,1005664.06,1021,1041,20,1037.853224,2.551874677,3026380,21,1039,1031,1038,1040
38,37,2916,1005664.06,1039,1075,36,1055.021948,8.324534353,3076444,37,1050,1075,1054,1067
39,38,2862,987040.6515,1083,1103,20,1096.625087,4.288052354,3138541,21,1099,1083,1098,1101
40,39,2916,1005664.06,1027,1033,6,1029.509602,1.392800804,3002050,7,1029,1033,1029,1031
41,40,2862,987040.6515,1181,1242,61,1205.299441,15.79974236,3449567,62,1193,1239,1203,1228
