OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90
1,0,2916,1005664.06,0,1056,1056,20.45987654,66.16007188,59661,201,0,68,4,38
2,1,2916,1005664.06,0,8172,8172,174.2088477,985.306198,507993,301,0,67,2,97
3,2,2916,1005664.06,0,607156,607156,8845.01749,71155.63892,25792071,385,0,61,3,138
4,3,2916,1005664.06,0,2899,2899,42.02331962,219.4331505,122540,234,0,47,3,57
5,4,2862,987040.6515,0,9387,9387,166.839972,1112.964328,477496,277,0,68,3,72
6,5,2916,1005664.06,0,2772,2772,69.99245542,256.3470699,204098,359,0,65,3,102
7,6,2862,987040.6515,0,25135,25135,467.0870021,3264.432202,1336803,238,0,65,2,62
8,7,2862,987040.6515,0,2165,2165,63.05136268,219.8202552,180453,345,0,58,5,134
9,8,2916,1005664.06,0,1385,1385,22.21639232,89.11588003,64783,200,0,58,2,33
10,9,2916,1005664.06,0,71114,71114,1320.706104,8957.902951,3851179,361,0,71,7,107
11,10,2862,987040.6515,0,170004,170004,3298.816911,23116.68345,9441214,438,0,80,26,199
12,11,2916,1005664.06,0,795,795,14.15843621,48.56167434,41286,144,0,55,2,34
13,12,2916,1005664.06,0,637144,637144,11806.50274,85410.40804,34427762,454,0,50,6,297
14,13,2862,987040.6515,0,3091,3091,102.3032844,371.2258174,292792,425,0,63,3,200
15,14,2916,1005664.06,0,428,428,12.62517147,35.92091084,36815,139,0,55,3,28
16,15,2916,1005664.06,0,2863,2863,103.1632373,414.8164055,300824,299,0,66,3,73
17,16,2916,1005664.06,0,9578,9578,165.7345679,976.6910193,483282,304,0,54,4,74
18,17,2916,1005664.06,0,2197,2197,30.02537723,129.6152983,87554,229,0,74,3,53
19,18,2916,1005664.06,0,2926,2926,50.47085048,214.8300589,147173,303,0,48,6,67
20,19,2916,1005664.06,0,406,406,20.73010974,51.60595994,60449,236,0,61,2,58
21,20,2862,987040.6515,0,621,621,18.45632425,61.31871362,52822,203,0,64,2,46
22,21,2916,1005664.06,0,941,941,17.03120713,58.2861307,49663,132,0,70,5,32
23,22,2862,987040.6515,0,77787,77787,1478.092942,9720.657199,4230302,380,0,78,3,101
24,23,2916,1005664.06,0,2263,2263,35.43964335,186.8531846,103342,207,0,60,3,39
25,24,2862,987040.6515,0,235701,235701,2144.465059,19335.20628,6137459,328,0,53,2,93
26,25,2809,968762.121,0,1303797,1303797,24640.08437,177109.5221,69213997,409,0,57,4,199
27,26,2916,1005664.06,0,14273,14273,222.6032236,1549.867747,649111,241,0,59,3,43
28,27,2916,1005664.06,0,6198,6198,48.12105624,406.7379467,140321,203,0,62,2,41
29,28,2862,987040.6515,0,2089,2089,43.24737945,171.7169238,123774,286,0,43,4,56
30,29,2916,1005664.06,0,1469,1469,38.90603567,164.0360882,113450,247,0,44,2,60
31,30,2916,1005664.06,0,4543,4543,95.30452675,486.6478876,277908,286,0,78,4,71
32,31,2862,987040.6515,0,77281,77281,1635.133124,10774.80331,4679751,281,0,65,3,60
33,32,2916,1005664.06,0,389,389,22.8021262,49.04235462,66491,225,0,74,3,72
34,33,2916,1005664.06,0,8136,8136,137.0761317,718.6878158,399714,316,0,64,2,71
35,34,2916,1005664.06,0,4178,4178,71.56687243,414.1237398,208689,270,0,72,4,75
36,35,2916,1005664.06,0,59925,59925,1017.259945,7288.276999,2966330,400,0,95,7,162
37,36,2916,1005664.06,0,813,813,21.53120713,74.05932761,62785,193,0,79,3,41
38,37,2916,1005664.06,0,16595,16595,85.31447188,908.6958069,248777,242,0,76,4,68
39,38,2862,987040.6515,0,989,989,19.15967855,59.84289362,54835,189,0,62,3,44
40,39,2916,1005664.06,0,8193,8193,125.7709191,552.4906603,366748,384,0,67,5,152
41,40,2862,987040.6515,0,5112,5112,100.2089448,536.7477702,286798,280,0,59,3,76
42,41,2916,1005664.06,0,78636,78636,929.7513717,7079.916326,2711155,333,0,79,5,86
43,42,2916,1005664.06,0,6622,6622,63.93964335,399.9456528,186448,255,0,45,4,55
44,43,2916,1005664.06,0,1694,1694,36.39506173,148.4289433,106128,245,0,53,3,45
45,44,2916,1005664.06,0,6169,6169,96.27743484,659.286517,280745,211,0,55,4,35
46,45,2916,1005664.06,0,379,379,16.39437586,40.29267272,47806,183,0,53,2,45
47,46,2916,1005664.06,0,1626,1626,35.58676269,134.434824,103771,264,0,59,3,79
