OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,0,2916,1005664.06,0,1.724184871,1.724184871,0.410747482,0.646192137,1197.739659,0,1.542250872
2,1,2916,1005664.06,0,13.70174026,13.70174026,3.887319513,2.386826882,11335.4237,3.268847227,7.533224583
3,2,2916,1005664.06,0,11.10261822,11.10261822,2.368790524,1.970768537,6907.393168,1.724184871,5.160119534
4,3,2916,1005664.06,0,12.15528393,12.15528393,2.804161526,2.655986739,8176.935011,1.724184871,7.054334164
5,4,2862,987040.6515,0,6.357520103,6.357520103,2.131689889,1.374574217,6100.896461,1.724184871,4.388551235
6,5,2916,1005664.06,0,3.082270145,3.082270145,0.916221002,0.755102991,2671.700443,1.219366789,1.724184871
7,6,2862,987040.6515,0,11.83973217,11.83973217,3.847823455,1.869660627,11012.47073,3.445252657,6.357520103
8,7,2862,987040.6515,0,12.52889347,12.52889347,2.184803489,2.41314621,6252.907587,1.635754704,5.355909824
9,8,2916,1005664.06,0,4.1463871,4.1463871,1.227251683,0.885097273,3578.665906,1.542250872,2.214066386
10,9,2916,1005664.06,0,2.180545568,2.180545568,0.572330627,0.706353983,1668.916108,0,1.542250872
11,10,2862,987040.6515,0,3.082270145,3.082270145,0.473852366,0.705569139,1356.165472,0,1.542250872
12,11,2916,1005664.06,0,8.42321682,8.42321682,1.783768116,1.320750751,5201.467827,1.542250872,3.445252657
13,12,2916,1005664.06,0,9.453859329,9.453859329,2.74306576,1.801885966,7998.779755,2.247587204,5.13152647
14,13,2862,987040.6515,0,3.082270145,3.082270145,1.019058875,0.744221664,2916.546501,1.219366789,1.724184871
15,14,2916,1005664.06,0,4.617845535,4.617845535,0.930287177,0.985993741,2712.717407,0.545383275,1.965695262
16,15,2916,1005664.06,0,4.866467476,4.866467476,1.516144532,1.014618778,4421.077454,1.542250872,2.934499025
17,16,2916,1005664.06,0,3.176939964,3.176939964,1.178574009,0.861592121,3436.721809,1.542250872,2.180545568
18,17,2916,1005664.06,0,1.724184871,1.724184871,0.55620521,0.69003779,1621.894394,0,1.635754704
19,18,2916,1005664.06,0,6.194268227,6.194268227,0.48288638,1.026894394,1408.096685,0,1.542250872
20,19,2916,1005664.06,0,6.950232506,6.950232506,1.106888015,1.029616067,3227.68545,1.219366789,1.724184871
21,20,2862,987040.6515,0,17.7071228,17.7071228,4.208697424,4.707609128,12045.29203,1.724184871,11.93420219
22,21,2916,1005664.06,0,8.559282303,8.559282303,0.310999837,0.80728659,906.8755235,0,1.542250872
23,22,2862,987040.6515,0,7.890869617,7.890869617,1.625605251,1.622147833,4652.48223,1.542250872,4.1463871
24,23,2916,1005664.06,0,3.176939964,3.176939964,0.842179748,0.81623693,2455.796144,0.545383275,1.724184871
25,24,2862,987040.6515,0,17.21909142,17.21909142,4.412910034,3.829974586,12629.74852,3.082270145,10.26566029
26,25,2809,968762.121,0,12.97622204,12.97622204,1.855680287,2.678717601,5212.605926,1.219366789,5.675504684
27,26,2916,1005664.06,0,7.237793922,7.237793922,1.242859044,1.168214563,3624.176972,1.219366789,2.778823137
28,27,2916,1005664.06,0,11.31687164,11.31687164,5.020604389,2.353596028,14640.0824,4.866467476,8.4745121
29,28,2862,987040.6515,0,11.5511446,11.5511446,0.981806208,1.14520174,2809.929368,1.219366789,1.724184871
30,29,2916,1005664.06,0,11.10261822,11.10261822,1.924349636,2.531356614,5611.403538,1.219366789,6.334464073
31,30,2916,1005664.06,0,3.082270145,3.082270145,0.511242242,0.709704318,1490.782378,0,1.542250872
32,31,2862,987040.6515,0,10.04095173,10.04095173,2.36832112,2.03833411,6778.135044,1.724184871,5.355909824
33,32,2916,1005664.06,0,10.37603569,10.37603569,2.547275591,2.54800552,7427.855624,1.635754704,6.801707268
34,33,2916,1005664.06,0,7.761116505,7.761116505,2.744296542,1.499997204,8002.368716,2.724942446,4.681261539
35,34,2916,1005664.06,0,2.180545568,2.180545568,0.746206807,0.721299812,2175.939048,0.545383275,1.724184871
36,35,2916,1005664.06,0,1.724184871,1.724184871,0.40873803,0.634904037,1191.880096,0,1.635754704
37,36,2916,1005664.06,0,13.621068,13.621068,1.043831084,1.813693629,3043.811442,0.545383275,1.724184871
38,37,2916,1005664.06,0,11.31687164,11.31687164,2.666485224,1.826780762,7775.470914,2.247587204,4.866467476
39,38,2862,987040.6515,0,6.194268227,6.194268227,1.26832849,1.149102285,3629.95614,1.542250872,2.934499025
40,39,2916,1005664.06,0,1.724184871,1.724184871,0.406087229,0.63979892,1184.150359,0,1.542250872
41,40,2862,987040.6515,0,8.40604496,8.40604496,3.403624336,1.44882298,9741.172851,3.082270145,5.544634819
42,41,2916,1005664.06,0,1.724184871,1.724184871,0.330350794,0.595816896,963.3029143,0,1.542250872
43,42,2916,1005664.06,0,6.002085209,6.002085209,0.58730033,0.997034379,1712.567762,0,1.724184871
44,43,2916,1005664.06,0,7.37719965,7.37719965,2.320214551,1.691544363,6765.74563,1.965695262,4.866467476
45,44,2916,1005664.06,0,2.778823137,2.778823137,0.627596724,0.728193743,1830.072046,0,1.635754704
46,45,2916,1005664.06,0,12.48427773,12.48427773,3.535060196,1.831592919,10308.23553,3.176939964,5.355909824
47,46,2916,1005664.06,0,2.724942446,2.724942446,0.852885437,0.702608675,2487.013933,1.090667725,1.724184871
48,47,2916,1005664.06,0,1.724184871,1.724184871,0.390833966,0.632197846,1139.671845,0,1.542250872
49,48,2916,1005664.06,0,12.52889347,12.52889347,2.882282998,2.119476066,8404.737221,2.247587204,5.544634819
50,49,2862,987040.6515,0,1.724184871,1.724184871,0.410663239,0.633707976,1175.31819,0,1.542250872
51,50,2916,1005664.06,0,9.781461716,9.781461716,2.247263766,1.502456111,6553.02114,1.724184871,4.251885891
52,51,2916,1005664.06,0,3.082270145,3.082270145,0.622540258,0.715916398,1815.327392,0,1.635754704
53,52,2916,1005664.06,0,1.724184871,1.724184871,0.311559868,0.587138464,908.5085741,0,1.542250872
54,53,2862,987040.6515,0,2.437630177,2.437630177,0.491857458,0.682981902,1407.696046,0,1.542250872
55,54,2916,1005664.06,0,3.082270145,3.082270145,1.044415807,0.80209763,3045.516492,1.542250872,1.724184871
56,55,2862,987040.6515,0,10.23786449,10.23786449,2.498599388,1.997210875,7150.991449,1.965695262,5.437613487
57,56,2916,1005664.06,0,3.082270145,3.082270145,0.802554549,0.725244552,2340.249065,0.545383275,1.724184871
58,57,2916,1005664.06,0,3.082270145,3.082270145,0.73952901,0.74264192,2156.466594,0.545383275,1.724184871
59,58,2916,1005664.06,0,7.667024136,7.667024136,0.685869288,1.060616175,1999.994845,0,1.724184871
60,59,2916,1005664.06,0,5.59735918,5.59735918,0.908431012,0.973773043,2648.984832,0.545383275,1.724184871
61,60,2916,1005664.06,0,11.31687164,11.31687164,2.90544904,1.679792345,8472.289401,2.724942446,4.649663448
62,61,2862,987040.6515,0,8.808407784,8.808407784,2.353455296,1.28851449,6735.589058,1.965695262,4.1463871
63,62,2862,987040.6515,0,1.724184871,1.724184871,0.639204254,0.701578363,1829.402575,0.545383275,1.635754704
64,63,2916,1005664.06,0,3.176939964,3.176939964,0.988399809,0.7539157,2882.173842,1.219366789,1.724184871
65,64,2916,1005664.06,0,2.180545568,2.180545568,0.59097164,0.701742192,1723.273301,0,1.635754704
66,65,2862,987040.6515,0,16.75273514,16.75273514,4.62312032,4.192421209,13231.37036,3.445252657,10.98732281
67,66,2916,1005664.06,0,2.934499025,2.934499025,0.54121458,0.712206674,1578.181717,0,1.635754704
68,67,2916,1005664.06,0,3.082270145,3.082270145,0.658367498,0.771471873,1919.799626,0,1.724184871
69,68,2916,1005664.06,0,1.724184871,1.724184871,0.767740358,0.689319106,2238.730884,0.545383275,1.724184871
70,69,2916,1005664.06,0,7.667024136,7.667024136,0.82575877,1.303522921,2407.912573,0,2.437630177
71,70,2862,987040.6515,0,1.724184871,1.724184871,0.355397763,0.61587548,1017.148398,0,1.542250872
72,71,2916,1005664.06,0,12.96551991,12.96551991,2.812948176,2.799454701,8202.556882,1.724184871,7.105720758
73,72,2916,1005664.06,0,23.31565666,23.31565666,1.5665677,2.982176332,4568.111413,0,4.896641254
74,73,2916,1005664.06,0,2.934499025,2.934499025,0.769534481,0.725881442,2243.962546,0.545383275,1.724184871
75,74,2916,1005664.06,0,7.667024136,7.667024136,1.556882615,1.807474445,4539.869705,1.219366789,4.388551235
76,75,2916,1005664.06,0,7.704805851,7.704805851,1.43227718,1.351325042,4176.520258,1.542250872,3.445252657
77,76,2862,987040.6515,0,5.878684521,5.878684521,1.98617793,1.241387258,5684.441237,1.724184871,3.445252657
78,77,2862,987040.6515,0,6.865769386,6.865769386,2.550636609,1.363759092,7299.921975,2.180545568,4.617845535
79,78,2916,1005664.06,0,10.59303474,10.59303474,0.768601997,1.083931339,2241.243423,0.545383275,1.724184871
80,79,2916,1005664.06,0,3.445252657,3.445252657,1.08075653,0.796006156,3151.486042,1.219366789,1.724184871
81,80,2916,1005664.06,0,17.38619804,17.38619804,2.580989071,3.308843336,7526.164132,1.542250872,7.581237078
82,81,2916,1005664.06,0,8.559282303,8.559282303,2.838042775,1.598119994,8275.732733,2.724942446,5.160119534
83,82,2862,987040.6515,0,1.724184871,1.724184871,0.634151316,0.695548623,1814.941066,0.545383275,1.635754704
84,83,2916,1005664.06,0,3.082270145,3.082270145,0.52972326,0.701447503,1544.673025,0,1.542250872
85,84,2916,1005664.06,0,3.082270145,3.082270145,0.589899674,0.717614685,1720.14745,0,1.635754704
86,85,2916,1005664.06,0,5.015487194,5.015487194,1.074800077,1.042487598,3134.117023,1.219366789,2.247587204
87,86,2916,1005664.06,0,7.277908325,7.277908325,1.248138234,1.2783085,3639.571089,1.219366789,3.082270145
88,87,2862,987040.6515,0,3.850750208,3.850750208,1.297859705,0.805899908,3714.474476,1.542250872,2.180545568
89,88,2862,987040.6515,0,15.35337353,15.35337353,2.303096041,3.75688433,6591.460869,0,8.392171288
90,89,2862,987040.6515,0,13.75188351,13.75188351,2.967517176,2.489980421,8493.034156,2.180545568,6.516551971
91,90,2916,1005664.06,0,1.965695262,1.965695262,0.45011093,0.661911457,1312.523471,0,1.542250872
92,91,2916,1005664.06,0,4.866467476,4.866467476,1.643852771,1.164250717,4793.474682,1.542250872,3.176939964
93,92,2916,1005664.06,0,6.801707268,6.801707268,1.552737768,1.217877483,4527.783331,1.542250872,3.082270145
94,93,2862,987040.6515,0,7.704805851,7.704805851,1.667989136,1.685307994,4773.784908,1.542250872,4.1463871
95,94,2916,1005664.06,0,9.176465034,9.176465034,1.91764117,2.068976775,5591.841652,1.542250872,5.160119534
96,95,2862,987040.6515,0,4.617845535,4.617845535,1.915952902,0.839285768,5483.457206,1.724184871,3.082270145
97,96,2916,1005664.06,0,4.617845535,4.617845535,0.937968635,0.898583852,2735.116539,1.219366789,1.724184871
98,97,2916,1005664.06,0,16.49731064,16.49731064,2.986875658,3.405879939,8709.72942,1.635754704,7.667024136
99,98,2916,1005664.06,0,9.781461716,9.781461716,3.707165012,1.682449246,10810.09317,3.445252657,6.074887753
