OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,0,2500,1000000,1020,1968.247925,948.2479248,1537.581916,224.043758,3843954.791,1577.656494,1807.141431
2,1,2500,1000000,512.249939,1895.890259,1383.64032,1237.712472,287.8677341,3094281.18,1261.34845,1604.344092
3,2,2500,1000000,0,1046.900146,1046.900146,446.9935095,229.0792055,1117483.774,442.7188721,750.812854
4,3,2500,1000000,871.3208618,2087.773926,1216.453064,1492.288172,278.9213583,3730720.431,1483.711487,1880.138245
5,4,2500,1000000,1315.90271,2191.072754,875.1700439,1737.460833,184.8759605,4343652.083,1730.953491,1995.384631
6,5,2500,1000000,266.8332825,1618.394287,1351.561005,969.8074834,286.547735,2424518.708,991.5643921,1332.831543
7,6,2500,1000000,400,1442.220459,1042.220459,927.5611129,284.9415067,2318902.782,925.0945435,1320.681653
8,7,2500,1000000,101.9803925,1208.801025,1106.820633,764.2281835,244.1142432,1910570.459,805.1087036,1044.03064
9,8,2500,1000000,180,1377.679199,1197.679199,768.4285074,284.4771152,1921071.269,769.4153442,1147.780457
10,9,2500,1000000,0,769.4153442,769.4153442,302.9736266,186.4071391,757434.0664,300,553.1726685
11,10,2500,1000000,0,382.0994568,382.0994568,66.50025282,100.7592986,166250.632,0,243.3105011
12,11,2500,1000000,1320,2345.549072,1025.549072,1820.94964,280.5232248,4552374.1,1823.348511,2196.815869
13,12,2500,1000000,0,913.8927612,913.8927612,349.1847284,221.4579545,872961.821,311.7684784,679.1465088
14,13,2500,1000000,935.0935669,2320,1384.906433,1648.899027,288.4748738,4122247.567,1666.132935,2024.302332
15,14,2500,1000000,1499.066406,2565.618896,1066.55249,2075.480158,229.8936402,5188700.394,2095.948486,2369.320532
16,15,2500,1000000,784.3468628,2120.377441,1336.030579,1466.988521,285.9429926,3667471.303,1479.05365,1841.759998
17,16,2500,1000000,1898.73645,3089.724854,1190.988403,2565.886821,281.5440811,6414717.054,2574.412598,2946.82207
18,17,2500,1000000,0,668.4309692,668.4309692,245.0192036,154.288009,612548.0091,247.3863373,449.4440918
19,18,2500,1000000,0,384.1874695,384.1874695,92.76359554,86.74211939,231908.9889,72.11102295,212.6029205
20,19,2500,1000000,1340,2185.772217,845.7722168,1823.214791,219.7583626,4558036.978,1873.285889,2080.384521
21,20,2500,1000000,126.4911041,1296.30249,1169.811386,748.4099401,263.5972725,1871024.85,760.2631226,1100
22,21,2500,1000000,576.8881836,1380.57959,803.6914063,1084.264489,162.5682531,2710661.223,1111.395508,1272.650732
23,22,2500,1000000,1932.56311,2561.640137,629.0770264,2272.816741,141.600781,5682041.851,2264.508789,2473.297363
24,23,2500,1000000,60,1063.014526,1003.014526,523.9272355,223.9612731,1309818.089,498.3948517,848.5281372
25,24,2500,1000000,0,1018.626526,1018.626526,391.0414755,255.5881152,977603.6888,393.4459839,733.4848633
26,25,2500,1000000,0,282.8427124,282.8427124,74.67193815,62.48537105,186679.8454,63.24555206,161.2451477
27,26,2500,1000000,735.3910522,1965.400757,1230.009705,1379.31979,270.5483869,3448299.476,1372.443115,1752.449744
28,27,2500,1000000,1672.602783,2620.915771,948.3129883,2187.27904,216.89625,5468197.6,2190.342285,2479.540308
29,28,2500,1000000,72.11102295,1172.006836,1099.895813,651.6026391,243.224508,1629006.598,650.538269,981.835022
30,29,2500,1000000,0,802.2468262,802.2468262,293.8450355,186.7611711,734612.5887,260.7680969,573.444574
31,30,2500,1000000,980,1905.46582,925.4658203,1474.07504,254.8114015,3685187.601,1499.199768,1789.972046
32,31,2500,1000000,0,837.3768311,837.3768311,450.9843851,201.1959352,1127460.963,466.9046936,707.6722412
33,32,2500,1000000,160,1315.294678,1155.294678,701.727477,267.7831741,1754318.693,687.3135986,1082.626416
34,33,2500,1000000,280,1404.279175,1124.279175,833.5161623,276.2455572,2083790.406,834.0262451,1210.619629
35,34,2500,1000000,0,940.2127686,940.2127686,381.6869204,224.379087,954217.3011,360,701.2843872
36,35,2500,1000000,134.1640778,1318.484009,1184.319931,796.171974,275.9027895,1990429.935,803.6167297,1162.841345
37,36,2500,1000000,20,740.2702026,720.2702026,386.2259899,160.9294411,965564.9748,398.4971619,588.2176514
38,37,2500,1000000,0,909.7252197,909.7252197,421.0652152,218.3694219,1052663.038,412.3105774,728.0109863
39,38,2500,1000000,1508.509155,2729.46875,1220.959595,2110.863958,285.4112711,5277159.894,2113.764404,2492.452612
40,39,2500,1000000,0,816.0882568,816.0882568,332.3374958,200.8735646,830843.7394,323.1098938,620.3225098
41,40,2500,1000000,2554.760254,3272.002441,717.2421875,2949.597951,150.6214356,7373994.877,2953.574219,3149.730225
42,41,2500,1000000,0,1018.626526,1018.626526,511.0210121,239.7870829,1277552.53,501.5974426,835.4878662
43,42,2500,1000000,0,1055.462036,1055.462036,536.3091822,257.8786947,1340772.956,530.4706421,894.4271851
44,43,2500,1000000,1080,2175.683838,1095.683838,1610.66736,285.0632406,4026668.399,1610.27948,2001.68927
45,44,2500,1000000,0,401.9950256,401.9950256,166.6979835,98.13919749,416744.9588,161.2451477,304.6309204
46,45,2500,1000000,2744.66748,3663.495605,918.828125,3216.683042,209.1808023,8041707.606,3236.355957,3479.080322
