OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90
1,0,972,388800,0,2418,2418,143.0185185,508.7762325,139014,106,0,14,1,107
2,1,1192,476800,0,1170,1170,45.01090604,167.3499399,53653,107,0,20,1,58
3,2,1692,676800,0,247,247,12.63002364,38.38944702,21370,94,0,27,1,23
4,3,1440,576000,0,7918,7918,202.9298611,1130.612516,292219,126,0,16,1,58
5,4,2074,829600,0,284,284,11.0289296,33.6330836,22874,103,0,40,1,23
6,5,1960,784000,0,495,495,15.91071429,60.32665914,31185,106,0,26,1,22
7,6,1286,514400,0,1365,1365,24.81026439,98.69333603,31906,123,0,73,5,56
8,7,2493,997200,0,5461,5461,130.7745688,553.2924939,326021,200,0,94,22,75
9,8,1865,746000,0,6818,6818,69.72493298,568.4041268,130037,127,0,42,2,55
10,9,599,239600,0,1115,1115,56.13856427,199.7013108,33627,72,0,19,2,75
11,10,1253,501200,0,2518,2518,48.25698324,244.8015846,60466,119,0,27,1,64
12,11,233,93200,0,2745,2745,159.193133,612.1222714,37092,39,0,15,1,77
13,12,276,110400,0,167,167,9.315217391,28.4279904,2571,30,0,9,1,18
14,13,2251,900400,0,587,587,12.29453576,43.47940133,27675,104,0,68,1,28
15,14,2284,913600,0,4610,4610,110.6856392,537.4016125,252806,181,0,42,1,86
16,15,631,252400,0,442,442,19.02852615,67.247697,12007,57,0,9,1,29
17,16,750,300000,0,626,626,24.81466667,77.12474085,18611,73,0,20,1,28
18,17,1130,452000,0,1233,1233,53.6920354,187.8794964,60672,112,0,13,1,100
19,18,1485,594000,0,2086,2086,95.37845118,369.8098659,141637,137,0,18,2,93
20,19,2410,964000,0,2552,2552,37.28630705,178.2426809,89860,149,0,46,2,40
21,20,1622,648800,0,2004,2004,55.18002466,247.2439096,89502,138,0,30,1,55
22,21,2500,1000000,0,1061,1061,22.68,92.14136964,56700,135,0,65,1,36
23,22,1558,623200,0,392,392,15.56418485,50.18629659,24249,101,0,24,1,36
24,23,405,162000,0,284,284,10.48641975,35.77643805,4247,41,0,17,1,18
25,24,2500,1000000,0,775,775,18.7508,84.64670991,46877,124,0,53,1,30
26,25,2500,1000000,0,7929,7929,190.234,952.874914,475585,212,0,37,1,127
27,26,883,353200,0,386,386,16.81993205,53.08339098,14852,71,0,11,1,36
28,27,21,8400,0,49,49,16.9047619,18.94328569,355,7,0,19,12,49
29,28,1311,524400,0,1189,1189,49.27231121,187.6492008,64596,106,0,30,1,39
30,29,2373,949200,0,2643,2643,50.94479562,307.8330307,120892,129,0,26,1,25
31,30,2500,1000000,0,3193,3193,114.4648,492.8173089,286162,150,0,34,1,43
32,31,1351,540400,0,1544,1544,47.12213175,194.7987761,63662,100,0,26,1,29
33,32,890,356000,0,57,57,3.856179775,8.191636665,3432,36,0,15,1,11
34,33,2075,830000,0,291,291,13.18746988,40.98014844,27364,114,0,37,1,27
35,34,2500,1000000,0,1912,1912,41.0744,177.1168046,102686,164,0,34,1,49
36,35,2500,1000000,0,10116,10116,279.7948,1535.66919,699487,191,0,27,1,88
37,36,1774,709600,0,340,340,9.718714769,30.91967481,17241,93,0,48,1,23
38,37,913,365200,0,1975,1975,76.33953998,320.1386658,69698,65,0,18,1,24
39,38,51,20400,0,261,261,45.84313725,88.92150593,2338,11,0,2,1,200
40,39,1080,432000,0,21623,21623,438.562037,2901.670053,473647,97,0,20,1,143
41,40,2256,902400,0,26067,26067,852.785461,4300.413575,1923884,219,0,24,1,269
42,41,2500,1000000,0,29048,29048,823.4056,4496.29113,2058514,232,0,36,1,159
43,42,1734,693600,0,35772,35772,752.0542099,4773.787506,1304062,165,0,34,1,95
44,43,322,128800,0,124,124,7.223602484,15.50074138,2326,34,0,11,1,24
45,44,60,24000,0,48,48,9.516666667,16.19206767,571,13,0,2,1,44
46,45,1434,573600,0,2186,2186,72.58856346,321.4304231,104092,109,0,26,1,40
47,46,1757,702800,0,812,812,24.0876494,101.5592845,42322,109,0,27,1,29
48,47,2275,910000,0,1706,1706,21.48923077,86.51129504,48888,155,0,29,1,52
49,48,2252,900800,0,1701,1701,29.22335702,132.4777548,65811,151,0,38,1,37
50,49,2500,1000000,0,14488,14488,306.7712,1794.894466,766928,215,0,19,1,94
51,50,2500,1000000,0,10482,10482,76.1272,792.6239687,190318,136,0,33,1,39
52,51,2290,916000,0,1031,1031,28.05327511,114.4631469,64242,141,0,62,1,40
53,52,2436,974400,0,4200,4200,140.9712644,630.192315,343406,181,0,24,1,59
54,53,1947,778800,0,3596,3596,142.9352851,537.7691721,278295,192,0,20,1,167
55,54,391,156400,0,980,980,61.91815857,219.5218204,24210,44,0,8,1,35
56,55,1125,450000,0,15513,15513,461.6702222,2442.652996,519379,126,0,20,1,252
57,56,2354,941600,0,21443,21443,623.615548,3142.403062,1467991,229,0,49,1,146
58,57,2368,947200,0,779,779,23.37922297,73.06944199,55362,167,0,27,2,60
59,58,2500,1000000,0,775,775,22.5704,71.01757137,56426,159,0,20,2,58
60,59,2500,1000000,0,237,237,7.9472,22.22905333,19868,98,0,44,1,20
61,60,2338,935200,0,442,442,13.49272883,43.46699866,31546,123,0,48,1,34
62,61,762,304800,0,4643,4643,73.78608924,455.6395496,56225,92,0,22,1,120
63,62,361,144400,0,108758,108758,1744.861496,12470.66098,629895,61,0,7,1,549
64,63,200,80000,0,1514,1514,35.47,206.1364817,7094,22,0,20,1,10
65,64,340,136000,0,6001,6001,98.70588235,721.3355232,33560,38,0,16,1,25
66,65,1951,780400,0,260,260,10.83341876,33.49509677,21136,102,0,23,1,20
67,66,2500,1000000,0,11734,11734,288.8736,1537.661681,722184,182,0,31,1,69
68,67,2500,1000000,0,6695,6695,112.2096,635.8420207,280524,178,0,26,1,48
69,68,2471,988400,0,4557,4557,172.1295022,686.6456206,425332,227,0,37,1,152
70,69,1072,428800,0,711,711,17.75186567,64.5703076,19030,84,0,20,1,36
71,70,2444,977600,0,17475,17475,417.7250409,2462.427389,1020920,195,0,25,1,87
72,71,2109,843600,0,323,323,9.326695116,27.82915353,19670,97,0,34,1,19
73,72,1820,728000,0,15664,15664,145.8686813,1185.948261,265481,156,0,18,1,85
74,73,2178,871200,0,11887,11887,376.8879706,1652.842094,820862,211,0,27,1,534
75,74,282,112800,0,1133,1133,140.4007092,294.1238445,39593,60,0,6,2,705
76,75,38,15200,0,960,960,128.3157895,322.5204282,4876,12,0,1,0,949
77,76,182,72800,0,185,185,20.17032967,46.94968781,3671,29,0,11,1,55
78,77,113,45200,0,174,174,11.19469027,36.81089162,1265,16,0,4,1,10
79,78,833,333200,0,284,284,16.07563025,42.97926907,13391,76,0,14,1,45
80,79,2500,1000000,0,495,495,13.19,47.93344031,32975,118,0,34,1,26
81,80,2500,1000000,0,1713,1713,47.1344,207.5352373,117836,164,0,36,1,55
