OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90
1,0,968,387200,1,1,0,1,0,968,1,1,1,1,1
2,1,1146,458400,0,1,1,0.77486911,0.417668496,888,2,1,0,1,1
3,2,1626,650400,0,1,1,0.86900369,0.33739632,1413,2,1,0,1,1
4,3,1419,567600,0,1,1,0.751937984,0.431888009,1067,2,1,0,1,1
5,4,2027,810800,1,1,0,1,0,2027,1,1,1,1,1
6,5,1959,783600,1,1,0,1,0,1959,1,1,1,1,1
7,6,1243,497200,0,1,1,0.447304907,0.497215474,556,2,0,1,0,1
8,7,2488,995200,0,1,1,0.018890675,0.136138964,47,2,0,1,0,0
9,8,1871,748400,0,1,1,0.190272582,0.392516148,356,2,0,1,0,1
10,9,556,222400,1,1,0,1,0,556,1,1,1,1,1
11,10,1244,497600,1,1,0,1,0,1244,1,1,1,1,1
12,11,235,94000,1,1,0,1,0,235,1,1,1,1,1
13,12,270,108000,1,1,0,1,0,270,1,1,1,1,1
14,13,2198,879200,1,1,0,1,0,2198,1,1,1,1,1
15,14,2250,900000,1,1,0,1,0,2250,1,1,1,1,1
16,15,652,260800,1,1,0,1,0,652,1,1,1,1,1
17,16,784,313600,1,1,0,1,0,784,1,1,1,1,1
18,17,1180,472000,0,1,1,0.971186441,0.167282211,1146,2,1,0,1,1
19,18,1517,606800,0,1,1,0.722478576,0.44777593,1096,2,1,0,1,1
20,19,2407,962800,0,1,1,0.495637723,0.49998097,1193,2,0,1,0,1
21,20,1631,652400,0,1,1,0.862660944,0.344204938,1407,2,1,0,1,1
22,21,2500,1000000,0,1,1,0.9644,0.185290691,2411,2,1,0,1,1
23,22,1567,626800,1,1,0,1,0,1567,1,1,1,1,1
24,23,405,162000,1,1,0,1,0,405,1,1,1,1,1
25,24,2500,1000000,1,1,0,1,0,2500,1,1,1,1,1
26,25,2500,1000000,1,1,0,1,0,2500,1,1,1,1,1
27,26,875,350000,1,1,0,1,0,875,1,1,1,1,1
