OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,0,880,352000,0.110287055,7.339523792,7.229236737,2.160277691,1.29811793,1901.044368,1.879688323,3.875061536
2,1,1047,418800,0.152923658,11.3841753,11.23125164,2.766902399,1.748037342,2896.946811,2.482465982,4.761706924
3,2,1603,641200,0,8.771294594,8.771294594,1.967708472,1.37852004,3154.23668,1.653501153,3.69434762
4,3,1457,582800,0,11.40970802,11.40970802,2.722765357,1.793631852,3967.069125,2.330129623,5.080374908
5,4,2046,818400,0.046231452,10.6154108,10.56917935,1.98500803,1.195378381,4061.32643,1.80742836,3.356886625
6,5,2001,800400,0.049074832,10.6232872,10.57421237,2.105599534,1.390121859,4213.304668,1.811030388,3.843083858
7,6,1291,516400,0,5.749848366,5.749848366,1.046362862,1.080814854,1350.854455,0.917653978,2.602039337
8,7,2493,997200,0,6.995607376,6.995607376,0.129121846,0.667154599,321.9007626,0,0
9,8,1874,749600,0,10.98226547,10.98226547,1.142538337,1.835922077,2141.116844,0,3.76720984
10,9,599,239600,0.145920426,7.163907528,7.017987102,3.481587277,1.37951669,2085.470779,3.27226305,5.363638401
11,10,1288,515200,0.05684939,7.707801342,7.650951952,2.342702365,1.183666211,3017.400646,2.163661003,3.848283744
12,11,240,96000,0.244909808,3.483342409,3.238432601,1.374453389,0.643096089,329.8688133,1.332408786,2.265395403
13,12,276,110400,0.116770685,8.931044579,8.814273894,3.275204589,1.641383849,903.9564665,3.093135476,5.173476458
14,13,2245,898000,0.024771526,10.83045578,10.80568425,3.060207472,1.837116667,6870.165775,2.815356731,5.646508217
15,14,2300,920000,0.072120585,18.03104973,17.95892914,3.424891432,2.6119996,7877.250293,2.69974494,6.560018396
16,15,681,272400,0.301664561,5.591247082,5.289582521,2.57447799,1.098943193,1753.219511,2.600077868,4.077554226
17,16,735,294000,0.170023277,6.312263489,6.142240211,1.825705783,1.027264467,1341.893751,1.6905303,3.094986057
18,17,1130,452000,0.037101593,5.551213741,5.514112148,1.895466919,1.107588201,2141.877618,1.692654312,3.52378583
19,18,1472,588800,0,7.409533978,7.409533978,1.821621384,1.385807571,2681.426678,1.67644906,3.671957493
20,19,2408,963200,0,10.16865158,10.16865158,2.005278775,2.077513292,4828.711291,1.552021265,5.044943333
21,20,1652,660800,0,10.66274643,10.66274643,2.527148476,1.548410777,4174.849283,2.541342258,4.466169357
22,21,2500,1000000,0.066731021,7.419320583,7.352589563,2.312844517,1.214508377,5782.111293,2.112873673,3.961724997
23,22,1569,627600,0.045116309,8.103076935,8.057960626,2.866180177,1.623257148,4497.036698,2.612979174,5.140529633
24,23,407,162800,0.227616102,10.34939671,10.1217806,2.506995277,1.698794722,1020.347078,2.020498514,5.015192986
25,24,2500,1000000,0.13233842,12.6605711,12.52823268,2.943334483,1.937943385,7358.336207,2.446473837,5.597980642
26,25,2500,1000000,0.068073601,15.7568655,15.6887919,3.432318339,2.380138655,8580.795849,2.93743825,6.308858395
