OBJECTID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,0,990,396000,172.0465088,1128.716064,956.6695557,650.7645257,231.9022738,644256.8805,649.7687378,966.0227661
2,1,1191,476400,0,297.3213806,297.3213806,86.69804064,75.15887786,103257.3664,72.11102295,196.9771576
3,2,1689,675600,0,635.2952271,635.2952271,243.8899712,172.2191121,411930.1614,234.0939941,490.6318176
4,3,1436,574400,0,655.1335449,655.1335449,179.1724385,177.0102069,257291.6217,116.6190414,448.3288422
5,4,2090,836000,862.7861938,1971.902588,1109.116394,1406.70906,235.9276654,2940021.936,1403.566895,1725.641919
6,5,1948,779200,216.3330841,1153.776367,937.4432831,742.1931173,180.5947678,1445792.192,742.2937317,982.4454956
7,6,1277,510800,0,470.7440796,470.7440796,110.3139585,148.2499594,140870.9251,0,357.770874
8,7,2493,997200,0,44.72135925,44.72135925,0.556584064,3.885015177,1387.564072,0,0
9,8,1842,736800,0,328.0243835,328.0243835,22.18127012,49.84950127,40857.89956,0,80
10,9,609,243600,284.253418,1094.897217,810.6437988,816.4740384,186.8027461,497232.6894,860.2325439,1014.336829
11,10,1254,501600,480.8326111,1285.145874,804.3132629,956.2917506,198.0886242,1199189.855,997.4962463,1190.596497
12,11,231,92400,284.253418,668.4309692,384.1775513,464.4296327,82.57967276,107283.2451,465.1881409,573.0619507
13,12,283,113200,840,1037.882446,197.8824463,912.5393135,42.51693638,258248.6257,910.8237915,965.4014893
14,13,2249,899600,960,1989.27124,1029.27124,1459.590497,287.320967,3282619.027,1453.82251,1862.686279
15,14,2294,917600,1120,2067.365479,947.3654785,1619.113815,276.5890207,3714247.091,1624.315186,1990.075317
16,15,630,252000,840,1177.454834,337.454834,991.6263399,82.49903453,624724.5941,992.9753418,1100.817859
17,16,750,300000,688.7670288,1568.183716,879.416687,1119.077176,215.7631532,839307.8817,1117.318237,1416.107385
18,17,1130,452000,0,834.5058594,834.5058594,399.3194542,199.319839,451230.9832,431.2769165,648.9992065
19,18,1490,596000,0,521.5361938,521.5361938,197.397574,166.7650245,294122.3852,197.9898987,424.2640686
20,19,2423,969200,0,554.6170044,554.6170044,129.2972244,154.9284415,313287.1747,56.56854248,379.4733276
21,20,1610,644000,0,693.3974609,693.3974609,361.991419,228.8023947,582806.1846,428.0186768,620.3225098
22,21,2500,1000000,0,861.6263428,861.6263428,395.6702624,216.1967709,989175.656,412.0678864,668.6400879
23,22,1554,621600,72.11102295,1064.706543,992.59552,634.8802858,213.3778603,986603.9642,652.993103,903.548584
24,23,413,165200,840,1221.474487,381.4744873,983.0066305,87.77666898,405981.7384,970.1546021,1109.306104
25,24,2500,1000000,960,2009.278442,1049.278442,1505.290746,283.4850373,3763226.865,1505.5896,1896.702344
26,25,2500,1000000,962.0810547,2063.201416,1101.120361,1594.225204,271.5450562,3985563.01,1596.809326,1966.570618
27,26,850,340000,404.9691467,1300,895.0308533,968.0347878,194.4220788,822829.5696,1007.769104,1187.333118
28,27,27,10800,404.9691467,577.2348022,172.2656555,476.6498277,45.91999908,12869.54535,468.1879883,540.7334229
29,28,1317,526800,380,1024.890259,644.8902588,712.7225438,155.7508095,938655.5902,713.8627319,921.5638306
30,29,2379,951600,0,898.4431152,898.4431152,455.600102,228.6965394,1083872.643,453.431366,760
31,30,2500,1000000,0,360.5551147,360.5551147,96.64879162,73.4877609,241621.9791,82.46211243,200
32,31,1350,540000,0,806.225769,806.225769,270.4231044,167.1236295,365071.1909,256.1249695,497.110733
33,32,900,360000,930.3762817,1557.562256,627.1859741,1200.113643,139.4151315,1080102.279,1183.7229,1400.556458
34,33,2075,830000,965.1942749,2012.958008,1047.763733,1453.12544,233.1910519,3015235.288,1442.497803,1779.640381
35,34,2500,1000000,1249.639893,2366.854492,1117.2146,1903.798432,228.5586141,4759496.081,1950.025635,2171.543213
36,35,2500,1000000,900,1985.950684,1085.950684,1427.552559,284.2262599,3568881.397,1426.534241,1820.109863
37,36,1763,705200,200,1077.032959,877.032959,621.0117336,198.3093962,1094843.686,624.8199463,880.2272339
38,37,916,366400,0,624.8199463,624.8199463,330.7339814,143.2124061,302952.327,349.8571167,504.7771912
39,38,49,19600,305.2867432,432.6661682,127.379425,357.5903501,31.40513381,17521.92715,349.8571167,400.9938293
40,39,1085,434000,0,854.4003906,854.4003906,287.4272451,248.1640475,311858.561,212.6029205,657.1447266
41,40,2266,906400,0,608.2762451,608.2762451,198.7966071,133.7434961,450473.1116,180,392.9376526
42,41,2500,1000000,0,672.3094482,672.3094482,228.5704237,209.8366071,571426.0593,180,553.1726685
43,42,1735,694000,0,860.2325439,860.2325439,337.019714,224.502949,584729.2038,300,649.922644
44,43,322,128800,681.1754761,1033.247314,352.0718384,883.5908982,72.54071827,284516.2692,888.144104,975.6430664
45,44,61,24400,1260.634766,1358.234131,97.59936523,1305.887049,25.41480881,79659.10999,1305.526733,1338.80542
46,45,1444,577600,260,1280.624878,1020.624878,687.4613792,259.1455362,992694.2315,664.8308105,1076.475403
47,46,1763,705200,0,697.7105713,697.7105713,258.0761146,174.2121329,454988.1901,223.6067963,528.3180664
48,47,2277,910800,600,1651.30249,1051.30249,1154.915219,276.4955665,2629741.953,1164.989258,1523.285889
49,48,2244,897600,1584.04541,2492.308105,908.2626953,1994.910573,224.2501469,4476579.325,1989.27124,2304.925049
50,49,2500,1000000,1511.687744,2473.863281,962.1755371,2119.73861,218.6007743,5299346.525,2150.581299,2385.623535
51,50,2500,1000000,833.5466309,2069.395996,1235.849365,1475.845004,266.2427488,3689612.509,1464.923218,1848.39386
52,51,2290,916000,340,1287.012085,947.012085,819.5617243,203.384837,1876796.349,829.6987305,1088.117676
53,52,2438,975200,100,885.4377441,785.4377441,576.3945809,173.3777756,1405249.988,601.6643677,781.0249634
54,53,1942,776800,260,937.4433594,677.4433594,604.4806607,141.66452,1173901.443,608.2762451,787.1467285
55,54,391,156400,356.0898743,884.0814209,527.9915466,613.5989474,109.0984456,239917.1884,608.2762451,764.1989136
56,55,1163,465200,0,553.1726685,553.1726685,167.70609,142.07236,195042.1827,128.0624847,386.2641602
57,56,2356,942400,0,611.8823242,611.8823242,309.1165271,174.6549684,728278.5379,325.576416,528.3937988
58,57,2371,948400,72.11102295,792.4645386,720.3535156,505.5744616,149.8427038,1198717.048,518.8448486,699.7142334
59,58,2500,1000000,0,921.9544678,921.9544678,536.8579688,228.3485079,1342144.922,588.2176514,800
60,59,2500,1000000,640,1576.324829,936.3248291,1033.230204,219.8635609,2583075.51,1002.097778,1360.147095
61,60,2338,935200,438.6342468,1596.997192,1158.362946,1081.886698,256.0555712,2529451.101,1082.404785,1436.941162
62,61,766,306400,216.3330841,1107.248901,890.9158173,539.635654,177.3246004,413360.9109,518.8448486,751.6648254
63,62,353,141200,200,667.5327759,467.5327759,367.8747981,100.4275694,129859.8037,360.5551147,500.0706665
64,63,200,80000,456.0701599,1328.156616,872.0864563,874.8697214,251.7994595,174973.9443,863.3548889,1233.693604
65,64,350,140000,1329.661621,2343.501709,1013.840088,1973.283609,286.9700383,690649.2632,2079.903687,2275.196777
66,65,1972,788800,1305.067017,2446.630371,1141.563354,1941.380201,265.3588776,3828401.756,1946.175781,2302.398828
67,66,2500,1000000,382.0994568,1767.823486,1385.72403,1113.218785,287.6499555,2783046.962,1138.77124,1476.468677
68,67,2500,1000000,260,1414.213623,1154.213623,827.097625,277.291037,2067744.063,828.7339478,1200.666504
69,68,2470,988000,724.7068481,2056.015625,1331.308777,1419.707977,287.5465563,3506678.702,1431.293152,1796.106934
70,69,1073,429200,1620.864014,2263.183594,642.3195801,1909.651067,123.8118054,2049055.595,1906.724976,2071.134863
71,70,2442,976800,764.1989136,2094.755371,1330.556458,1444.173279,276.4752309,3526671.147,1458.355225,1808.225378
72,71,2108,843200,184.3908844,1484.991577,1300.600693,862.9775152,252.7953367,1819156.602,849.7058105,1208.801025
73,72,1804,721600,0,806.225769,806.225769,296.4017884,185.4283524,534708.8262,268.7003174,572.7128296
74,73,2177,870800,0,651.152832,651.152832,203.7667857,149.4380749,443600.2925,181.1076965,413.8555603
75,74,278,111200,240,1080,840,721.6991298,245.9704138,200632.3581,763.2818298,1000
76,75,34,13600,688.1860352,935.0935669,246.9075317,824.7065878,66.334148,28040.02399,834.9848938,903.7351257
77,76,184,73600,134.1640778,503.5871277,369.4230499,333.7796439,92.26531601,61415.45448,330.4453583,460
78,77,110,44000,310.48349,509.901947,199.418457,407.8657221,49.37893803,44865.22943,407.9215698,471.2091278
79,78,870,348000,60,765.5063477,705.5063477,455.2698679,175.8242734,396084.7851,465.1881409,680
80,79,2500,1000000,0,664.8308105,664.8308105,257.3786698,163.626588,643446.6745,260,480.4580872
81,80,2500,1000000,63.24555206,1418.731812,1355.486259,765.2372482,281.4092283,1913093.121,777.9459839,1134.54834
82,81,2500,1000000,945.3041992,1620.123413,674.8192139,1362.105576,150.2102384,3405263.939,1378.259644,1550.483765
83,82,536,214400,120,1348.480591,1228.480591,695.0208526,389.7125416,372531.177,658.7861328,1190.462097
84,83,2500,1000000,0,600,600,206.7166306,131.4634341,516791.5764,196.9771576,380
